"","cct","cal_esp1","N1","cal_esp2","N2","cal_esp3","N3","PromedioSecundaria","NTotal"
"945","01DTV0152Z",498.170283726283,7,472.348846435547,9,495.836875915527,8,488.785335359119,24
"946","01DES0014S",442.965878628268,101,418.972584606352,105,458.361242814498,88,440.099902016373,294
"947","01DST0014K",441.499633346779,69,431.528910558364,85,456.102907342426,59,443.043817082523,213
"948","01DST0018G",475.271201518045,67,469.921434859155,71,506.121770639889,61,483.771469005696,199
"949","01DTV0025D",453.595479329427,9,540.065204620361,8,473.418775770399,9,489.026486573396,26
"950","01DTV0026C",431.682371440687,19,441.311284383138,18,562.168632507324,12,478.387429443716,49
"951","01DTV0042U",445.892387596337,37,414.175545528017,29,472.836359659831,18,444.301430928062,84
"952","01DTV0065E",435.316001198509,22,444.115578675881,39,540.943614501953,25,473.458398125448,86
"953","01DTV0086R",404.430125645229,14,479.072540283203,11,470.943133544922,15,451.481933157785,40
"954","01DTV0153Z",346.512614857067,11,417.152030944824,12,434.201482137044,12,399.288709312978,35
"955","01DTV0154Y",372.367492675781,8,507.107107979911,14,477.397335476345,9,452.290645377346,31
"956","01DTV0155X",513.443311903212,27,480.452290852865,33,547.114136872468,27,513.669913209515,87
"957","01DTV0156W",530.602002461751,12,455.401986258371,7,505.419833713108,9,497.14127414441,28
"958","01DTV0163F",373.480655246311,18,393.054524739583,21,461.852310180664,14,409.462496722186,53
"959","01DTV0169Z",418.675691604614,8,487.920719691685,7,572.543891906738,4,493.046767734346,19
"960","01DTV0178H",429.417734781901,15,522.764995574951,8,483.403568267822,8,478.528766208225,31
"961","01DTV0183T",465.066803876091,17,474.110433959961,10,519.096348689153,13,486.091195508402,40
"1011","01KTV0017E",458.554244995117,2,377.914194742839,3,469.775703430176,4,435.414714389377,9
"1012","01KTV0020S",442.91508992513,3,540.004821777344,2,459.022745768229,3,480.647552490234,8
"1013","01KTV0008X",403.281402587891,7,443.46439906529,7,379.527526855469,1,408.75777616955,15
"1014","01KTV0016F",500.605239868164,2,428.110066731771,3,361.877410888672,2,430.197572496202,7
"1015","01KTV0006Z",507.257545471191,4,0,0,0,0,169.085848490397,4
"1016","01KTV0004A",465.464385986328,2,546.115478515625,2,486.978108723958,3,499.519324408637,7
"1017","01KTV0022Q",464.646808624268,8,0,0,432.968536376953,1,299.205115000407,9
"1018","01KTV0007Y",311.697479248047,2,476.188217163086,4,352.279693603516,1,380.055130004883,7
"1019","01KTV0009W",306.877166748047,3,377.956904093424,6,0,0,228.278023613824,9
"1020","01KTV0019C",419.580867222377,14,366.833279079861,9,390.234313964844,5,392.216153422361,28
"1033","01PST0006G",629.320032755534,24,565.367068481445,20,662.059123792146,19,618.915408343042,63
"1034","01PES0024D",572.184159377526,58,599.142212686659,79,550.234279959542,70,573.853550674576,207
"1035","01DTV0013Z",566.525886867357,23,499.310737609863,24,552.935524318529,23,539.59071626525,70
"1036","01DST0012M",483.883732874253,170,478.406451668709,157,516.758886676945,146,493.016357073302,473
"1037","01DST0017H",482.468594112912,37,527.275374930246,35,507.600791141905,29,505.781586728354,101
"1038","01DTV0043T",504.336139678955,56,503.34316267047,57,510.475649184075,69,506.051650511167,182
"1039","01DTV0171O",687.095849609375,10,461.080987930298,16,466.375022194602,11,538.183953244758,37
"1040","01DES0005K",464.045989658522,92,482.161526362101,96,500.808546728017,98,482.33868758288,286
