"","cct","cal_mat1","N1","cal_mat2","N2","cal_mat3","N3","PromedioSecundaria","NTotal"
"923","01DTV0176J",455.380935668945,12,612.180050120634,17,504.903402577276,23,524.154796122285,52
"924","01DES0003M",495.633943031574,464,509.806348419189,440,527.281756168347,418,510.90734920637,1322
"925","01DES0020C",505.137518746512,77,551.576399012974,70,583.316556415861,63,546.676824725116,210
"926","01DST0019F",452.54292328717,146,460.356673850153,133,483.244545888093,118,465.381381008472,397
"927","01PES0060I",586.256862640381,16,529.147421264648,20,495.677142107928,27,537.027142004319,63
"928","01DST0011N",478.225702794393,240,501.083858187237,252,515.407434953962,245,498.238998645197,737
"929","01DTV0002T",522.626612243652,100,559.413429953835,88,601.182752821181,72,561.074265006223,260
"930","01DTV0004R",461.994535173689,56,527.734248463701,41,537.693072209593,61,509.140618615661,158
"931","01DTV0041V",428.03460398028,31,469.113945270407,29,478.822431776259,27,458.656993675648,87
"932","01DTV0084T",473.895102364676,14,498.836181640625,8,472.66347249349,18,481.798252166264,40
"933","01DTV0085S",480.820995754666,18,492.475274658203,15,440.041757022633,17,471.112675811834,50
"934","01DTV0145Q",435.819620768229,15,439.052501678467,8,463.821871948242,10,446.231331464979,33
"935","01DTV0146P",520.946484652433,44,470.654050827026,32,535.633347251199,44,509.077960910219,120
"936","01DTV0148N",514.760386149089,24,523.968218351665,19,535.737985049977,17,524.82219651691,60
"937","01DTV0168A",491.960162353516,5,549.392767333984,5,603.516426780007,11,548.289785489169,21
"938","01DTV0177I",452.872573852539,10,396.561950683594,6,447.807410346137,9,432.41397829409,25
"939","01DTV0179G",458.116356045592,102,499.334311451631,85,516.649191636306,52,491.366619711176,239
"940","01DST0006B",462.578580404065,97,493.30052532536,101,478.848254394531,90,478.242453374652,288
"941","01DTV0040W",529.685420109676,26,475.557286312706,19,708.932287597656,15,571.391664673346,60
"942","01DTV0149M",434.103661321825,31,421.917881718388,27,533.153898819633,23,463.058480619949,81
"943","01DTV0150B",547.750091552734,12,464.147999354771,14,522.206006731306,14,511.36803254627,40
"944","01DTV0151A",483.564208984375,6,502.780494689941,4,0,0,328.781567891439,10
"945","01DTV0152Z",580.271584647042,7,591.950446234809,9,575.465835571289,8,582.562622151047,24
"946","01DES0014S",465.054325670299,101,474.440964035761,105,481.043323170055,88,473.512870958705,294
"947","01DST0014K",448.356678838315,69,481.070093491498,85,478.419592388606,59,469.282121572806,213
"948","01DST0018G",493.174719967059,67,497.221601889167,71,512.457452992924,61,500.95125828305,199
"949","01DTV0025D",485.821183946398,9,653.527801513672,8,594.888593885634,9,578.079193115234,26
"950","01DTV0026C",557.938918264289,19,566.171247694227,18,627.592979431152,12,583.901048463223,49
"951","01DTV0042U",482.569985879434,37,474.304515970164,29,535.907194349501,18,497.593898733033,84
"952","01DTV0065E",585.081949407404,22,618.256518241687,39,583.976809082031,25,595.771758910374,86
"953","01DTV0086R",503.114748273577,14,516.340845281428,11,531.221270751953,15,516.892288102319,40
"954","01DTV0153Z",601.129011674361,11,602.857660929362,12,490.879931131999,12,564.955534578574,35
"955","01DTV0154Y",414.257564544678,8,538.937628609793,14,563.717054578993,9,505.637415911155,31
"956","01DTV0155X",603.787434895833,27,588.682263923414,33,615.87604437934,27,602.781914399529,87
"957","01DTV0156W",684.017583211263,12,782.710998535156,7,737.689988878038,9,734.806190208153,28
"958","01DTV0163F",356.464157952203,18,420.998835972377,21,449.521963936942,14,408.994985953841,53
"959","01DTV0169Z",577.96329498291,8,552.742536272321,7,758.259155273438,4,629.654995509556,19
"960","01DTV0178H",454.980898030599,15,633.419937133789,8,531.394874572754,8,539.931903245714,31
"961","01DTV0183T",568.731741512523,17,549.198687744141,10,533.931624192458,13,550.62068448304,40
"1011","01KTV0017E",521.614593505859,2,438.086120605469,3,455.625747680664,4,471.775487263997,9
"1012","01KTV0020S",455.936828613281,3,582.724761962891,2,505.155965169271,3,514.605851915148,8
"1013","01KTV0008X",455.114929199219,7,512.629311697824,7,511.516510009766,1,493.086916968936,15
"1014","01KTV0016F",569.240005493164,2,539.508626302083,3,368.589050292969,2,492.445894029405,7
"1015","01KTV0006Z",595.965927124023,4,0,0,0,0,198.655309041341,4
"1016","01KTV0004A",645.018432617188,2,589.496154785156,2,600.078165690104,3,611.530917697483,7
"1017","01KTV0022Q",443.07975769043,8,0,0,349.067657470703,1,264.049138387044,9
"1018","01KTV0007Y",354.685150146484,2,488.03662109375,4,477.536956787109,1,440.086242675781,7
