"","cct","Esp","Mat","NEsp","NMat","PromedioGeneral"
"186","01DTV0052A",512.247591339596,564.803465682741,23,23,538.525528511169
"187","01DTV0070Q",435.31148445036,512.082609545093,89,89,473.697046997726
"188","01DTV0076K",501.202675161992,583.056932390861,84,84,542.129803776426
"189","01DTV0077J",477.550783743266,622.446520574732,45,45,549.998652158999
"190","01DTV0078I",477.955199994945,556.741051737468,43,43,517.348125866206
"191","01DTV0135J",416.344468519423,480.62383970603,52,52,448.484154112727
"192","01DTV0137H",538.161334593683,593.880638187767,43,43,566.020986390725
"193","01DTV0162G",459.196860111121,556.162541880752,39,39,507.679700995937
"194","01DTV0165D",470.664510569478,519.081828102423,73,73,494.87316933595
"195","01DTV0020I",493.694956545038,518.980120269071,148,148,506.337538407054
"196","01DTV0046Q",408.7221125483,450.962827581761,28,28,429.842470065031
"197","01DTV0066D",482.938422823278,520.794424897217,152,152,501.866423860248
"198","01DTV0080X",451.538208562551,487.574249133435,94,94,469.556228847993
"199","01DTV0138G",451.24782872114,525.207517514399,114,114,488.22767311777
"200","01DTV0140V",452.491358862983,495.378394656711,18,18,473.934876759847
"201","01DTV0173M",461.700956300644,477.425879841618,77,77,469.563418071131
"202","01DST0010O",452.062219160695,480.99609872497,905,905,466.529158942833
"203","01DST0028N",451.891480441581,470.429993650902,803,803,461.160737046241
"204","01DST0032Z",489.802300607967,512.175103222979,200,200,500.988701915473
"205","01PES0029Z",503.986008201124,523.878639605303,108,108,513.932323903214
"206","01PES0036I",475.245706853192,488.3709598525,50,50,481.808333352846
"207","01DTV0018U",480.718632426181,531.908903344929,167,167,506.313767885555
"208","01DTV0036J",483.149392845517,560.627860950288,41,41,521.888626897902
"209","01DTV0079H",404.653991912628,430.494784837558,35,35,417.574388375093
"210","01DTV0139F",472.799469801484,489.519463271691,32,32,481.159466536588
"211","01DTV0172N",442.544938151042,512.697859022352,31,31,477.621398586697
"212","01DTV0174L",422.75055202908,487.470507134332,26,26,455.110529581706
"213","01DES0018O",496.80944407985,517.487387557147,748,748,507.148415818499
"214","01DES0036D",577.426375505288,583.213778376055,408,408,580.320076940671
"215","01DST0039T",454.767746864863,466.073802487669,536,536,460.420774676266
"216","01PES0022F",562.558699251425,587.644749805181,25,25,575.101724528303
"217","01PES0058U",308.869680747008,325.817965091803,29,29,317.343822919406
"218","01PES0068A",133.176637776693,156.787803141276,5,5,144.982220458985
"219","01DTV0021H",437.842181006717,479.698168969132,209,209,458.770174987925
"220","01DTV0022G",434.447365054597,511.405755674206,58,58,472.926560364401
"221","01DTV0081W",422.912867880275,434.140340234479,54,54,428.526604057377
"222","01DTV0082V",390.190048508417,440.158118257068,22,22,415.174083382743
"223","01DTV0093A",462.521377902561,486.651249610053,24,24,474.586313756307
"224","01DTV0141U",486.790471573168,590.860559017722,99,99,538.825515295445
"225","01DTV0164E",396.887861746329,477.06679038396,37,37,436.977326065144
"226","01DTV0181V",404.35067193538,435.877081541768,138,138,420.113876738574
"227","01DST0003E",487.552181411407,499.376934849491,899,899,493.464558130449
"228","01DST0023S",468.889739573666,500.858297057138,691,691,484.874018315402
"229","01PES0066C",510.693111269698,555.978163029597,35,35,533.335637149647
"230","01DTV0023F",445.421394839674,462.985508879178,42,42,454.203451859426
"231","01DTV0038H",413.680350325163,447.801410697809,243,243,430.740880511486
"232","01DTV0056X",377.845354010334,445.508614327008,43,43,411.676984168671
"233","01DTV0068B",471.245766491004,555.606635765981,69,69,513.426201128492
"234","01DTV0083U",414.123027591184,475.63676997149,87,87,444.879898781337
"235","01DTV0142T",535.480516838305,578.674905752207,29,29,557.077711295256
"236","01DTV0143S",452.777786219018,492.144284090221,44,44,472.461035154619
"237","01DTV0144R",394.320111762153,431.993844774034,32,32,413.156978268093
"238","01DTV0166C",474.863514733093,518.686559033993,51,51,496.775036883543
"239","01DTV0176J",436.047522182524,524.154796122285,52,52,480.101159152405
"240","01DES0003M",473.067272185346,510.90734920637,1322,1322,491.987310695858
"241","01DES0020C",520.893960704134,546.676824725116,210,210,533.785392714625
"242","01DST0019F",446.189842925802,465.381381008472,397,397,455.785611967137
"243","01PES0060I",511.986935759179,537.027142004319,63,63,524.507038881749
"244","01DST0011N",477.070205218055,498.238998645197,737,737,487.654601931626
"245","01DTV0002T",509.962077305084,561.074265006223,260,260,535.518171155653
"246","01DTV0004R",477.549072847842,509.140618615661,158,158,493.344845731752
"247","01DTV0041V",425.973617069455,458.656993675648,87,87,442.315305372552
"248","01DTV0084T",455.808520846897,481.798252166264,40,40,468.803386506581
"249","01DTV0085S",453.549772447906,471.112675811834,50,50,462.33122412987
"250","01DTV0145Q",420.844143591987,446.231331464979,33,33,433.537737528483
"251","01DTV0146P",490.262954769713,509.077960910219,120,120,499.670457839966
"252","01DTV0148N",488.898212148104,524.82219651691,60,60,506.860204332507
"253","01DTV0168A",434.62969193892,548.289785489169,21,21,491.459738714045
"254","01DTV0177I",391.949603384512,432.41397829409,25,25,412.181790839301
"255","01DTV0179G",447.43789564874,491.366619711176,239,239,469.402257679958
"256","01DST0006B",498.395182316379,478.242453374652,288,288,488.318817845515
"257","01DTV0040W",499.676439338303,571.391664673346,60,60,535.534052005824
"258","01DTV0149M",431.882664951079,463.058480619949,81,81,447.470572785514
"259","01DTV0150B",417.693555317228,511.36803254627,40,40,464.530793931749
"260","01DTV0151A",277.34383392334,328.781567891439,10,10,303.06270090739
"261","01DTV0152Z",488.785335359119,582.562622151047,24,24,535.673978755083
"262","01DES0014S",440.099902016373,473.512870958705,294,294,456.806386487539
"263","01DST0014K",443.043817082523,469.282121572806,213,213,456.162969327664
"264","01DST0018G",483.771469005696,500.95125828305,199,199,492.361363644373
"265","01DTV0025D",489.026486573396,578.079193115234,26,26,533.552839844315
"266","01DTV0026C",478.387429443716,583.901048463223,49,49,531.14423895347
"267","01DTV0042U",444.301430928062,497.593898733033,84,84,470.947664830548
"268","01DTV0065E",473.458398125448,595.771758910374,86,86,534.615078517911
"269","01DTV0086R",451.481933157785,516.892288102319,40,40,484.187110630052
"270","01DTV0153Z",399.288709312978,564.955534578574,35,35,482.122121945776
"271","01DTV0154Y",452.290645377346,505.637415911155,31,31,478.96403064425
"272","01DTV0155X",513.669913209515,602.781914399529,87,87,558.225913804522
"273","01DTV0156W",497.14127414441,734.806190208153,28,28,615.973732176281
"274","01DTV0163F",409.462496722186,408.994985953841,53,53,409.228741338013
"275","01DTV0169Z",493.046767734346,629.654995509556,19,19,561.350881621951
