"","cct","promedioEsp","promedioMat","promedioGeneral"
"389","02PCT0014N1",479.39,361.17,420.28
"390","02PCT0015M1",559.54,368.26,463.9
"391","02PCT0017K1",536.95,340.53,438.74
"392","02PCT0018J1",604,576.66,590.33
"393","02PCT0019I1",515.25,411.09,463.17
"394","02PCT0019I2",542.96,366.82,454.89
"395","02PCT0021X1",422.33,296.39,359.36
"396","02PCT0022W1",398.15,264.73,331.44
"397","02PCT0022W2",443,276.25,359.625
"398","02PCT0023V1",493.5,440.15,466.825
"399","02PCT0025T1",410.27,313.24,361.755
"400","02PCT0025T2",366.71,300.04,333.375
"401","02PCT0027R1",490.7,400.17,445.435
"402","02PCT0028Q1",493.45,426.9,460.175
"403","02PCT0028Q2",511.17,289,400.085
"404","02PCT0029P1",431.7,361.58,396.64
"405","02PCT0029P2",452.02,404.63,428.325
"406","02PCT0030E1",502.43,360.2,431.315
"407","02PCT0032C1",448.71,306.33,377.52
"408","02PCT0032C2",457.29,362.07,409.68
"409","02PCT0033B1",427.92,333.5,380.71
"410","02PCT0035Z1",617.85,546.77,582.31
"411","02PCT0036Z1",430.42,298.07,364.245
"412","02PCT0039W1",519.18,471.57,495.375
"413","02PCT0040L1",318.11,243.75,280.93
"414","02PCT0040L2",357.64,297.14,327.39
"415","02PCT0041K1",486.75,333.43,410.09
"416","02PCT0042J1",276.29,225.43,250.86
"417","02PCT0043I1",397.71,281.04,339.375
"418","02PCT0044H1",415.46,333.46,374.46
"419","02PCT0045G1",382.22,271.63,326.925
"420","02PCT0046F1",487.31,336.9,412.105
"421","02PCT0047E1",482.8,317.44,400.12
"422","02PCT0048D1",304.63,260.2,282.415
"423","02PCT0049C1",435.44,325.59,380.515
"424","02PCT0050S1",442.09,313.67,377.88
"425","02PCT0051R1",326.8,306.8,316.8
"426","02PCT0054O1",473.79,263.21,368.5
"427","02PCT0054O2",600,467,533.5
"428","02PCT0112O2",402.77,297.87,350.32
"429","02SBC2043D1",396.24,247.12,321.68
"430","02SBC2105Z1",366.57,294.06,330.315
"431","03DBP0001S1",569.71,428.25,498.98
